0,1,2,3,4,5
https://www.bumper.com/vin-decoder/chrysler/grand-voyager/,200,['Chrysler Grand Voyager VIN Decoder & Lookup'],1,"[""Check your Chrysler Grand Voyager's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/vin-decoder/ram/1500/,200,['Ram 1500 VIN Decoder & Lookup'],1,"[""Check your Ram 1500's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/license-plate-lookup/connecticut/,200,['CT License Plate Lookup | Connecticut License Plate Lookup | Bumper'],1,['Uncover a Connecticut vehicleâ\x80\x99s history with our fast and dependable license plate lookup tool!'],1
https://www.bumper.com/vin-decoder/chrysler/grand-voyager/,200,['Chrysler Grand Voyager VIN Decoder & Lookup'],1,"[""Check your Chrysler Grand Voyager's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/vin-decoder/ram/1500/,200,['Ram 1500 VIN Decoder & Lookup'],1,"[""Check your Ram 1500's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/license-plate-lookup/florida/,200,['Florida License Plate Lookup | License Plate Search & Lookup FL'],1,['Need to look up a vehicle with a Florida license plate? Our license plate lookup is here to give you the details on vehicles with a FL license plate!'],1
https://www.bumper.com/vin-decoder/classic-roadsters/,200,['Classic Roadsters VIN Decoder & Lookup'],1,"[""Check your Classic Roadsters's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/license-plate-lookup/new-mexico/,200,['New Mexico License Plate Lookup | NM License Plate Lookup & Search | Bumper'],1,"['Dive into extensive vehicle data with our New Mexico license plate lookup tool. Enter any NM plate number to access in-depth reports, including vehicle history, accidents, and more. Start your search today!']",1
https://www.bumper.com/vin-decoder/lincoln/,200,['Lincoln VIN Decoder & Lookup'],1,"[""Check your Lincoln's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/license-plate-lookup/new-mexico/,200,['New Mexico License Plate Lookup | NM License Plate Lookup & Search | Bumper'],1,"['Dive into extensive vehicle data with our New Mexico license plate lookup tool. Enter any NM plate number to access in-depth reports, including vehicle history, accidents, and more. Start your search today!']",1
https://www.bumper.com/vin-decoder/lincoln/,200,['Lincoln VIN Decoder & Lookup'],1,"[""Check your Lincoln's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/vin-decoder/chrysler/concorde/,200,['Chrysler Concorde VIN Decoder & Lookup'],1,"[""Check your Chrysler Concorde's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/vin-decoder/chrysler/concorde/,200,['Chrysler Concorde VIN Decoder & Lookup'],1,"[""Check your Chrysler Concorde's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/vin-decoder/chrysler/pt-cruiser/,200,['Chrysler PT Cruiser VIN Decoder & Lookup'],1,"[""Check your Chrysler PT Cruiser's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/vin-decoder/isuzu/axiom/,200,['Isuzu Axiom VIN Decoder & Lookup'],1,"[""Check your Isuzu Axiom's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/tools/sell-your-car/,200,['Bumper Marketplace - Find Used & New Cars For Sale'],1,['Search for new and used vehicles for sale in your area. Find your dream car today on Bumper.com!'],1
https://www.bumper.com/license-plate-lookup/nebraska/,200,['Nebraska License Plate Lookup | License Plate Lookup & Search NE'],1,"['Explore extensive vehicle data with our Nebraska license plate lookup tool. Enter any NE plate number to access detailed reports, including vehicle history, ownership, and more.']",1
https://www.bumper.com/vin-decoder/isuzu/ascender/2005/,200,['2005 Isuzu Ascender VIN Decoder & Lookup'],1,"[""Check your 2005 Isuzu Ascender's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/vin-decoder/ferrari/la-ferrari/,200,['Ferrari La Ferrari VIN Decoder & Lookup'],1,"[""Check your Ferrari La Ferrari's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/vin-decoder/ferrari/roma/,200,['Ferrari Roma VIN Decoder & Lookup'],1,"[""Check your Ferrari Roma's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/vin-decoder/buick/cascada/,200,['Buick Cascada VIN Decoder & Lookup'],1,"[""Check your Buick Cascada's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/vin-decoder/volvo/c40/,200,['Volvo C40 VIN Decoder & Lookup'],1,"[""Check your Volvo C40's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/vin-decoder/buick/cascada/,200,['Buick Cascada VIN Decoder & Lookup'],1,"[""Check your Buick Cascada's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/vin-decoder/volvo/c40/,200,['Volvo C40 VIN Decoder & Lookup'],1,"[""Check your Volvo C40's VIN with our free VIN decoder. Look up a VIN to get info about its specs, options, value, and history!""]",1
https://www.bumper.com/press/,200,['Press | Bumper'],1,"[""Bumper.com's data studies and reports provide insights to journalists and members of the media. Reach out for the latest news, press kit and interviews.""]",1
https://www.bumper.com/press/,200,['Press | Bumper'],1,"[""Bumper.com's data studies and reports provide insights to journalists and members of the media. Reach out for the latest news, press kit and interviews.""]",1
https://www.bumper.com/analysis/traffic-speed-camera-state-rankings/,200,['Do Automated Speed Cameras Save Lives?'],1,['Bumper.com analyzed traffic fatality rates from 2010 to 2020 to determine whether automated speed and red-light cameras save lives. '],1
https://www.bumper.com/taxes/,200,['Taxes'],1,['Bumper'],1
https://www.bumper.com/tools/car-research-tool/,200,['Car Research Tool - Simplify New & Used Cars Search | Bumper'],1,['Simplify your online car shopping experience! Research new and used cars with our free browser extension tool. Save vehicles across the web and view them in one place. Save time and money when you car shop.'],1
